"codigo","descricao","setor","termos_busca","observacao"
"EST101117","A21.03 COXA C A","","EST101117 A21.03 COXA C A",""
"EST101118","A21.04 ESTEIRA FRONT HALF CONE","","EST101118 A21.04 ESTEIRA FRONT HALF CONE",""
"EST101119","A21.05 FILE 2 BAADER ELEVATORIA","","EST101119 A21.05 FILE 2 BAADER ELEVATORIA",""
"EST101120","A21.06 SAIDA DA PENEIRA ROTATORIA","","EST101120 A21.06 SAIDA DA PENEIRA ROTATORIA",""
"EST101121","A21.07 ESTEIRA MAYEKAWA","","EST101121 A21.07 ESTEIRA MAYEKAWA",""
"EST101122","A21.08 ESTEIRA PEITO 02","","EST101122 A21.08 ESTEIRA PEITO 02",""
"EST101123","A21.09 RESERVA ANTIGA BOMBA B","","EST101123 A21.09 RESERVA ANTIGA BOMBA B",""
"EST101124","A21.10 ESTEIRA SAIDA BAADER 3","","EST101124 A21.10 ESTEIRA SAIDA BAADER 3",""
"EST109.40","ESTEIRA GIRAFA DE CARCACA GON","","EST109.40 ESTEIRA GIRAFA DE CARCACA GON",""
"EST109.41","ESTEIRA AEREA DE CARCACA L CON","","EST109.41 ESTEIRA AEREA DE CARCACA L CON",""
"EST19.07","ESTEIRA DESVIO PEITO COM OSSO","","EST19.07 ESTEIRA DESVIO PEITO COM OSSO",""
"EST12.12","INV A21 13 ESTEIRA TUMBLER","","EST12.12 INV A21 13 ESTEIRA TUMBLER",""
"UTA00.01","AS.16 NICHO 25.01","","UTA00.01 AS.16 NICHO 25.01",""
"UTA00.02","AS.17 NICHO 25.02","","UTA00.02 AS.17 NICHO 25.02",""
"UTA00.03","AS.18 NICHO 25.03","","UTA00.03 AS.18 NICHO 25.03",""
"UTA00.04","AS.19 NICHO 25.04","","UTA00.04 AS.19 NICHO 25.04",""
"UTA00.05","AS.20 NICHO 25.05","","UTA00.05 AS.20 NICHO 25.05",""
"INF-00.04","B13.8 INSUFLADOR 04 EVISCERACAO","","INF-00.04 B13.8 INSUFLADOR 04 EVISCERACAO",""
"INF-00.05","B13.9 INSUFLADOR 05 EVISCERACAO","","INF-00.05 B13.9 INSUFLADOR 05 EVISCERACAO",""
"INF-00.06","B13.10 INSUFLADOR 06 EVISCERACAO","","INF-00.06 B13.10 INSUFLADOR 06 EVISCERACAO",""
"INF-00.07","B13.3 INSUFLADOR 07 DEPENAGEM","","INF-00.07 B13.3 INSUFLADOR 07 DEPENAGEM",""
"INF-00.09","B13.2 INSUFLADOR 09 SANGRIA","","INF-00.09 B13.2 INSUFLADOR 09 SANGRIA",""
"INF-00.10","B13.4 INSUFLADOR 10 DEPENAGEM","","INF-00.10 B13.4 INSUFLADOR 10 DEPENAGEM",""
"INF-00.11","B13.1 INSUFLADOR 01 PENDURA","","INF-00.11 B13.1 INSUFLADOR 01 PENDURA",""
"INF-00.13","B13.5 INSUFLADOR 13 DEPENAGEM","","INF-00.13 B13.5 INSUFLADOR 13 DEPENAGEM",""
"INF-00.14","B13.6 INSUFLADOR 14 DEPENAGEM","","INF-00.14 B13.6 INSUFLADOR 14 DEPENAGEM",""
"INF-00.15","B13.7 INSUFLADOR 15 DEPENAGEM","","INF-00.15 B13.7 INSUFLADOR 15 DEPENAGEM",""
"EST-09.23","A22-09.23 ESTEIRA ELEVATORIA CARCACA","","EST-09.23 A22-09.23 ESTEIRA ELEVATORIA CARCACA",""
"EST-09.24","A22-09.24 ESTEIRA AREA CARCACA LINEAR","","EST-09.24 A22-09.24 ESTEIRA AREA CARCACA LINEAR",""
"CLI-00.01","CLIMATIZADOR 01 PENDURA","","CLI-00.01 CLIMATIZADOR 01 PENDURA",""
"CLI-00.02","CLIMATIZADOR 02 PENDURA","","CLI-00.02 CLIMATIZADOR 02 PENDURA",""
"CLI-00.03","CLIMATIZADOR 03 PENDURA","","CLI-00.03 CLIMATIZADOR 03 PENDURA",""
"RESERVA","B8.06 RESERVA","","RESERVA B8.06 RESERVA",""
"EXT-HIGE","B8.07 EXAUSTOR HIGIENIZACAO","","EXT-HIGE B8.07 EXAUSTOR HIGIENIZACAO",""
"EXT-SANGR","B8.08 EXAUSTOR SANGRIA","","EXT-SANGR B8.08 EXAUSTOR SANGRIA",""
"VENT-SANG","B8.09 VENTILADOR SANGRIA","","VENT-SANG B8.09 VENTILADOR SANGRIA",""
"VENT-DEF","B8.10 VENTILADOR EMIR DEPENAGEM","","VENT-DEF B8.10 VENTILADOR EMIR DEPENAGEM",""
"EXT-00.33","B8.11 EXAUSTOR 23 DEPENAGEM","","EXT-00.33 B8.11 EXAUSTOR 23 DEPENAGEM",""
"EXT-24","B8.17 EXAUSTOR 24 PENDURA","","EXT-24 B8.17 EXAUSTOR 24 PENDURA",""
"EXT-25","B8.02 EXAUSTOR 25 PENDURA","","EXT-25 B8.02 EXAUSTOR 25 PENDURA",""
"EXT-26","B8.01 EXAUSTOR 26 PENDURA","","EXT-26 B8.01 EXAUSTOR 26 PENDURA",""
"EXT-00.22","B8.14 EXAUSTOR 22 DEPENAGEM","","EXT-00.22 B8.14 EXAUSTOR 22 DEPENAGEM",""
"EXT-00.32","B8.13 EXAUSTOR 32 DEPENAGEM","","EXT-00.32 B8.13 EXAUSTOR 32 DEPENAGEM",""
"VENT-3.4","B8.15 VENTILADOR DEPENAGEM","","VENT-3.4 B8.15 VENTILADOR DEPENAGEM",""
"M-B4.82","B14.02 LIMPA TRIPA EXV-00.01","","M-B4.82 B14.02 LIMPA TRIPA EXV-00.01",""
"ESC0002","INV-A09.07 ESCALDADOR DE PATAS","","ESC0002 INV-A09.07 ESCALDADOR DE PATAS",""
"MAP0001","INV-A09.08 PELICARDIO","","MAP0001 INV-A09.08 PELICARDIO",""
"XX19.17","DISPONIVEL CIRCUITO 19.17 B11","","XX19.17 DISPONIVEL CIRCUITO 19.17 B11",""
"IN500.15","INSUFLADOR 00.15 ESCALDAGEM A7","","IN500.15 INSUFLADOR 00.15 ESCALDAGEM A7",""
"EX103.01","EXAUSTOR 03.01 DEPENAGEM A7.15","","EX103.01 EXAUSTOR 03.01 DEPENAGEM A7.15",""
"EST.6.47","PORTA A16","","EST.6.47 PORTA A16",""
"EXTRATORA PULMAO","BOM00.35","B16","EXTRATORA PULMAO BOM00.35 B16","CODIGO DUPLICADO"
"EXTRATORA PULMAO","LIGA DESLIGA ELIPSE","","EXTRATORA PULMAO LIGA DESLIGA ELIPSE","CODIGO DUPLICADO"
